PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY
,,,0,0,0,0.0,0,0,0,0.0
179.58280381679387,25654961.832061067,4219470190.076336,8,11,4,116.0,131,7,4,105.0
111.90514800000003,17917826.086956523,1940215395.3043478,0,10,2,103.0,115,8,2,93.0
103.805669423077,14157217.948717948,1472493408.0288463,1,25,3,128.0,156,22,3,103.0
103.96331238095242,19531523.80952381,2029462578.7619047,3,15,4,86.0,105,11,4,71.0
119.15588950617285,19234567.901234567,3475987611.728395,4,9,1,71.0,81,8,1,62.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
104.70785434782609,20568840.579710145,2153842153.0434785,0,13,6,50.0,69,7,6,37.0
103.882317,21335000.0,2218935833.214286,4,16,5,119.0,140,11,5,103.0
103.80888421568629,15854705.88235294,1645843375.735294,1,14,3,85.0,102,11,3,71.0
104.1501927631579,18236842.10526316,1900580313.8157895,1,3,2,71.0,76,1,2,68.0
134.4541269230769,21797692.307692308,5170453476.602564,3,0,0,39.0,39,0,0,39.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
104.0888948780488,21025365.85365854,2188487127.5914636,3,10,3,69.0,82,7,3,59.0
104.15306217391313,16894239.13043478,1759432092.527174,0,10,2,80.0,92,8,2,70.0
104.22143329411763,16992941.17647059,1774490224.1176472,1,5,0,80.0,85,5,0,75.0
111.39770936936944,17271891.891891893,2168460384.779279,1,11,0,100.0,111,11,0,89.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
104.6324433333334,19656875.0,2056128960.9375,0,8,1,87.0,96,7,1,79.0
105.15373555555553,13156148.148148147,1384414909.925926,1,11,1,123.0,135,10,1,112.0
105.38537588785049,18217009.34579439,1919570131.3084111,3,13,3,91.0,107,10,3,78.0
105.38284223140492,23821735.537190083,2510911871.818182,2,14,4,103.0,121,10,4,89.0
115.92059400000008,14501636.363636363,2267918156.0,2,19,1,90.0,110,18,1,71.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
105.97295212121212,20091717.17171717,2129433799.090909,2,13,3,83.0,99,10,3,70.0
105.95742737704917,18435819.672131147,1953642469.4262295,1,5,1,116.0,122,4,1,111.0
106.08811090909096,22600772.727272727,2396689711.090909,1,27,2,191.0,220,25,2,164.0
106.55020122807024,19602105.263157893,2091371414.5263157,1,8,4,102.0,114,4,4,94.0
114.8704866304348,25059891.304347824,3521854151.902174,6,11,0,81.0,92,11,0,70.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
106.02956202531641,19455696.202531647,2069510637.341772,0,9,4,66.0,79,5,4,57.0
106.2711162962962,19961111.111111112,2124727127.5,2,6,1,101.0,108,5,1,95.0
103.75006061224492,17784693.87755102,1879991116.122449,0,13,3,82.0,98,10,3,69.0
109.98518282051285,14320512.82051282,1527246764.6153846,0,7,4,67.0,78,3,4,60.0
115.86622748633881,38918825.13661202,4819499569.622951,50,54,18,294.0,366,36,18,240.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
104.80957478947377,31436368.42105263,3297613095.9105263,27,20,5,165.0,190,15,5,145.0
105.37540911242606,33632011.834319524,3547194333.757396,21,19,11,139.0,169,8,11,120.0
105.61933903846158,19444615.384615384,2054363623.5576923,7,22,9,125.0,156,13,9,103.0
103.45547174418606,25411860.465116277,2633529365.852713,14,37,14,207.0,258,23,14,170.0
117.35584624242424,26440787.87878788,3785805450.5454545,18,25,15,125.0,165,10,15,100.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
104.71875,10000000.0,1047187500.0,0,1,1,0.0,2,0,1,0.0
104.34635416666667,10416666.666666666,1086848958.3333333,0,12,12,0.0,24,0,12,0.0
104.2875,9000000.0,938687500.0,0,5,5,0.0,10,0,5,0.0
105.0703125,7500000.0,788085937.5,0,4,4,0.0,8,0,4,0.0
161.91071428571428,24285714.285714287,8198482142.857142,1,3,3,1.0,7,0,3,1.0
,,,0,0,0,0.0,0,0,0,0.0
